#snummer,fname,lname,dob,cohort,email,gender,grp,active
4113354,Clayton,Derek,1997-01-22,2021,derekclayton@student.fantys.nl,F,INF1-B,true
4113355,Mcintosh,Odin,1998-11-20,2021,odinmcintosh@student.fantys.nl,F,INF1-B,true
4113356,Hobbs,Israel,1999-05-16,2021,israelhobbs@student.fantys.nl,F,INF1-B,true
4113357,Munoz,Jon,2001-05-15,2021,jonmunoz@student.fantys.nl,F,INF1-B,true
4113358,Sawyer,Jakob,2002-06-29,2021,jakobsawyer@student.fantys.nl,F,INF1-C,true
4113359,Mayer,Derek,1996-09-14,2021,derekmayer@student.fantys.nl,M,INF1-C,true
4113360,Rice,Joshua,1999-05-06,2021,joshuarice@student.fantys.nl,M,INF1-A,true
4113361,Graham,Steve,2000-04-17,2021,stevegraham@student.fantys.nl,F,INF1-B,true
4113362,Bolton,Rashad,2001-12-26,2021,rashadbolton@student.fantys.nl,M,INF1-C,true
4113363,Meijer,Richard,1997-01-10,2021,richardmeijer@student.fantys.nl,M,INF1-B,true
4113364,Meijer,Israel,2002-03-01,2021,israelmeijer@student.fantys.nl,F,INF1-C,true
4113365,Schuster,Myles,1997-05-26,2021,mylesschuster@student.fantys.nl,F,INF1-C,true
4113366,Munoz,Gage,1997-07-09,2021,gagemunoz@student.fantys.nl,M,INF1-A,true
4113367,Simon,Dominik,2000-03-26,2021,dominiksimon@student.fantys.nl,F,INF1-A,true
4113368,Munoz,Jan,1997-06-22,2021,janmunoz@student.fantys.nl,M,INF1-A,true
4113369,Kennedy,Josiah,1999-10-03,2021,josiahkennedy@student.fantys.nl,M,INF1-B,true
4113370,Hoover,Jesse,1999-05-17,2021,jessehoover@student.fantys.nl,F,INF1-B,true
4113371,Kennedy,Colton,2001-10-12,2021,coltonkennedy@student.fantys.nl,M,INF1-B,true
4113372,Smith,Korbin,2001-07-08,2021,korbinsmith@student.fantys.nl,M,INF1-B,true
4113373,Stuart,Edward,2000-08-27,2021,edwardstuart@student.fantys.nl,M,INF1-C,true
4113374,Phelps,Sean,2001-10-28,2021,seanphelps@student.fantys.nl,F,INF1-B,true
4113375,Munoz,Agustin,2002-12-04,2021,agustinmunoz@student.fantys.nl,M,INF1-B,true
4113376,Shields,Evan,1998-12-01,2021,evanshields@student.fantys.nl,M,INF1-C,true
4113377,Christensen,Lyric,2001-07-25,2021,lyricchristensen@student.fantys.nl,F,INF1-A,true
4113378,Montoya,Octavio,2002-04-27,2021,octaviomontoya@student.fantys.nl,M,INF1-C,true
4113379,Lester,Alexzander,2001-09-14,2021,alexzanderlester@student.fantys.nl,F,INF1-C,true
4113380,Montoya,Brenton,1999-01-03,2021,brentonmontoya@student.fantys.nl,F,INF1-C,true
4113381,Barrera,Jesse,1999-03-02,2021,jessebarrera@student.fantys.nl,M,INF1-B,true
4113382,Smith,Octavio,1997-10-28,2021,octaviosmith@student.fantys.nl,M,INF1-C,true
4113383,Zavala,Malaki,2001-02-03,2021,malakizavala@student.fantys.nl,M,INF1-C,true
4113384,Barrera,Kamron,1998-08-17,2021,kamronbarrera@student.fantys.nl,F,INF1-C,true
4113385,Holden,Steven,1997-05-13,2021,stevenholden@student.fantys.nl,F,INF1-B,true
4113386,Zhang,Teagan,1996-07-12,2021,teaganzhang@student.fantys.nl,M,INF1-B,true
4113387,Manning,Stanley,2002-12-27,2021,stanleymanning@student.fantys.nl,F,INF1-B,true
4113388,Shields,Odin,2002-06-23,2021,odinshields@student.fantys.nl,F,INF1-A,true
4113389,Shields,Jeremiah,2001-12-05,2021,jeremiahshields@student.fantys.nl,M,INF1-C,true
4113390,Morse,Luciano,2001-01-14,2021,lucianomorse@student.fantys.nl,F,INF1-C,true
4113391,Griffith,Teagan,2000-04-02,2021,teagangriffith@student.fantys.nl,M,INF1-B,true
4113392,Barrera,Wayne,1998-05-21,2021,waynebarrera@student.fantys.nl,M,INF1-A,true
4113393,Sawyer,Eddie,2002-03-09,2021,eddiesawyer@student.fantys.nl,M,INF1-C,true
4113394,Reynolds,Nigel,1998-07-23,2021,nigelreynolds@student.fantys.nl,M,INF1-C,true
4113395,Smith,Terrell,1998-08-25,2021,terrellsmith@student.fantys.nl,F,INF1-A,true
4113396,Logan,Brenton,1998-06-28,2021,brentonlogan@student.fantys.nl,M,INF1-C,true
4113397,Shields,Dominick,2001-05-08,2021,dominickshields@student.fantys.nl,M,INF1-B,true
4113398,Guerra,Aryan,2002-07-05,2021,aryanguerra@student.fantys.nl,M,INF1-C,true
4113399,Gonzales,Jesse,2000-12-25,2021,jessegonzales@student.fantys.nl,F,INF1-B,true
4113400,Donaldson,Ezekiel,2002-01-29,2021,ezekieldonaldson@student.fantys.nl,M,INF1-C,true
4113401,Zhang,Malachi,1997-09-21,2021,malachizhang@student.fantys.nl,M,INF1-C,true
4113402,Mayer,Braedon,1996-03-06,2021,braedonmayer@student.fantys.nl,M,INF1-B,true
4113403,Guerra,Jeremiah,1998-09-06,2021,jeremiahguerra@student.fantys.nl,M,INF1-B,true
4113404,Meijer,Ty,1999-08-13,2021,tymeijer@student.fantys.nl,M,INF1-A,true
4113405,Gonzales,Ty,2002-06-21,2021,tygonzales@student.fantys.nl,M,INF1-B,true
4113406,Sweeney,Nigel,1998-06-15,2021,nigelsweeney@student.fantys.nl,F,INF1-B,true
4113407,Mayer,Ezekiel,2000-09-25,2021,ezekielmayer@student.fantys.nl,F,INF1-A,true
4113408,Chambers,Braedon,1996-10-11,2021,braedonchambers@student.fantys.nl,F,INF1-B,true
4113409,Schuster,Malachi,2000-10-18,2021,malachischuster@student.fantys.nl,M,INF1-C,true
4113410,Reyes,Amari,2000-01-03,2021,amarireyes@student.fantys.nl,F,INF1-C,true
4113411,Schuster,Jeremiah,1999-04-28,2021,jeremiahschuster@student.fantys.nl,M,INF1-C,true
4113412,Morse,Edward,1998-03-01,2021,edwardmorse@student.fantys.nl,F,INF1-A,true
4113413,Schuster,Avery,2002-11-22,2021,averyschuster@student.fantys.nl,F,INF1-B,true
4113414,Guerra,Jakob,1996-12-02,2021,jakobguerra@student.fantys.nl,F,INF1-C,true
4113415,Shields,Israel,1997-09-27,2021,israelshields@student.fantys.nl,F,INF1-C,true
